Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes,f_Date,Home_s,Visitor_s,Home_abbr,Away_abbr
"Fri, Nov 10, 2023",10:00p,Los Angeles Lakers,122,Phoenix Suns,119,Box Score,,17071.0,Footprint Center,In-Season Tournament,20231110,PHO,LAL,PHO,LAL
"Fri, Nov 10, 2023",10:00p,Oklahoma City Thunder,98,Sacramento Kings,105,Box Score,,18097.0,Golden 1 Center,In-Season Tournament,20231110,SAC,OKC,SAC,OKC
"Sat, Nov 11, 2023",6:00p,Milwaukee Bucks,97,Orlando Magic,112,Box Score,,19354.0,Kia Center,,20231111,ORL,MIL,ORL,MIL
"Sat, Nov 11, 2023",7:00p,Toronto Raptors,94,Boston Celtics,117,Box Score,,19156.0,TD Garden,,20231111,BOS,TOR,BOS,TOR
"Sat, Nov 11, 2023",7:30p,Miami Heat,117,Atlanta Hawks,109,Box Score,,17722.0,State Farm Arena,,20231111,ATL,MIA,ATL,MIA
"Sat, Nov 11, 2023",8:30p,Cleveland Cavaliers,118,Golden State Warriors,110,Box Score,,18064.0,Chase Center,,20231111,GSW,CLE,GSW,CLE
"Sun, Nov 12, 2023",12:00p,Charlotte Hornets,107,New York Knicks,129,Box Score,,19812.0,Madison Square Garden (IV),,20231112,NYK,CHO,NYK,CHO
"Sun, Nov 12, 2023",3:00p,Washington Wizards,94,Brooklyn Nets,102,Box Score,,17732.0,Barclays Center,,20231112,BRK,WAS,BRK,WAS
"Sun, Nov 12, 2023",3:30p,Memphis Grizzlies,105,Los Angeles Clippers,101,Box Score,,17220.0,Crypto.com Arena,,20231112,LAC,MEM,LAC,MEM
"Sun, Nov 12, 2023",6:00p,Indiana Pacers,126,Philadelphia 76ers,137,Box Score,,19758.0,Wells Fargo Center,,20231112,PHI,IND,PHI,IND
"Sun, Nov 12, 2023",7:00p,Detroit Pistons,108,Chicago Bulls,119,Box Score,,19088.0,United Center,,20231112,CHI,DET,CHI,DET
"Sun, Nov 12, 2023",7:00p,Denver Nuggets,104,Houston Rockets,107,Box Score,,18055.0,Toyota Center,,20231112,HOU,DEN,HOU,DEN
"Sun, Nov 12, 2023",7:00p,Dallas Mavericks,136,New Orleans Pelicans,124,Box Score,,16302.0,Smoothie King Center,,20231112,NOP,DAL,NOP,DAL
"Sun, Nov 12, 2023",7:00p,Miami Heat,118,San Antonio Spurs,113,Box Score,,18036.0,Frost Bank Center,,20231112,SAS,MIA,SAS,MIA
"Sun, Nov 12, 2023",8:00p,Oklahoma City Thunder,111,Phoenix Suns,99,Box Score,,17071.0,Footprint Center,,20231112,PHO,OKC,PHO,OKC
"Sun, Nov 12, 2023",8:30p,Minnesota Timberwolves,116,Golden State Warriors,110,Box Score,,18064.0,Chase Center,,20231112,GSW,MIN,GSW,MIN
"Sun, Nov 12, 2023",10:00p,Portland Trail Blazers,110,Los Angeles Lakers,116,Box Score,,18997.0,Crypto.com Arena,,20231112,LAL,POR,LAL,POR
"Mon, Nov 13, 2023",7:30p,New York Knicks,98,Boston Celtics,114,Box Score,,19156.0,TD Garden,,20231113,BOS,NYK,BOS,NYK
"Mon, Nov 13, 2023",7:30p,Washington Wizards,107,Toronto Raptors,111,Box Score,,19800.0,Scotiabank Arena,,20231113,TOR,WAS,TOR,WAS
"Mon, Nov 13, 2023",8:00p,Chicago Bulls,109,Milwaukee Bucks,118,Box Score,,17865.0,Fiserv Forum,,20231113,MIL,CHI,MIL,CHI
"Mon, Nov 13, 2023",10:00p,Cleveland Cavaliers,120,Sacramento Kings,132,Box Score,,17829.0,Golden 1 Center,,20231113,SAC,CLE,SAC,CLE
"Tue, Nov 14, 2023",7:00p,Miami Heat,111,Charlotte Hornets,105,Box Score,,15673.0,Spectrum Center,In-Season Tournament,20231114,CHO,MIA,CHO,MIA
"Tue, Nov 14, 2023",7:00p,Atlanta Hawks,126,Detroit Pistons,120,Box Score,,16963.0,Little Caesars Arena,In-Season Tournament,20231114,DET,ATL,DET,ATL
"Tue, Nov 14, 2023",7:00p,Indiana Pacers,132,Philadelphia 76ers,126,Box Score,,19774.0,Wells Fargo Center,In-Season Tournament,20231114,PHI,IND,PHI,IND
"Tue, Nov 14, 2023",7:30p,Orlando Magic,104,Brooklyn Nets,124,Box Score,,17361.0,Barclays Center,In-Season Tournament,20231114,BRK,ORL,BRK,ORL
"Tue, Nov 14, 2023",7:30p,San Antonio Spurs,87,Oklahoma City Thunder,123,Box Score,,18203.0,Paycom Center,In-Season Tournament,20231114,OKC,SAS,OKC,SAS
